Batch,Position,Sample_ID,Sample_type,Time_point,EIO_Lot,LPC_quant,EN_quant,EN_qunat_status
AV360-359,A:1,400000062,AIO Control,T00,Lot A,29.4,4.62,Pass
AV360-359,B:1,T00_EIO_S1_R01,VCv2,T00,Lot A,28.8,6.67,Pass
AV360-359,C:1,T00_EIO_S1_R02,VCv2,T00,Lot A,29,6.77,Pass
AV360-359,D:1,T00_EIO_S1_R03,VCv2,T00,Lot A,27.8,6.25,Pass
AV360-359,E:1,T00_EIO_S1_R04,VCv2,T00,Lot A,28.2,6.79,Pass
AV360-359,F:1,T00_EIO_S1_R05,VCv2,T00,Lot A,28.2,5.6,Pass
AV360-359,G:1,T00_EIO_S1_R06,VCv2,T00,Lot A,27.3,6.95,Pass
AV360-359,H:1,T00_EIO_S1_R07,VCv2,T00,Lot A,29.4,7.6,Pass
AV360-359,A:2,T00_EIO_S1_R08,VCv2,T00,Lot B,26.5,7.71,Pass
AV360-359,B:2,T00_EIO_S1_R09,VCv2,T00,Lot B,27.5,6.25,Pass
AV360-359,C:2,T00_EIO_S1_R10,VCv2,T00,Lot B,29.9,5.42,Pass
AV360-359,D:2,T00_EIO_S1_R11,VCv2,T00,Lot B,28,7.03,Pass
AV360-359,E:2,T00_EIO_S1_R12,VCv2,T00,Lot B,27.1,5.23,Pass
AV360-359,F:2,T00_EIO_S1_R13,VCv2,T00,Lot B,28.8,6.69,Pass
AV360-359,G:2,T00_EIO_S1_R14,VCv2,T00,Lot B,33.6,7.4,Pass
AV360-359,H:2,T00_EIO_S0_R01,NTC,T00,Lot B,0.13,0.049,Fail
AV360-359,A:3,T00_EIO_S1_R15,VCv2,T00,Lot C,30.4,7.26,Pass
AV360-359,B:3,T00_EIO_S1_R16,VCv2,T00,Lot C,28.3,7.89,Pass
AV360-359,C:3,T00_EIO_S1_R17,VCv2,T00,Lot C,28.9,6.89,Pass
AV360-359,D:3,T00_EIO_S1_R18,VCv2,T00,Lot C,30.3,7.63,Pass
AV360-359,E:3,T00_EIO_S1_R19,VCv2,T00,Lot C,26.6,5.3,Pass
AV360-359,F:3,T00_EIO_S1_R20,VCv2,T00,Lot C,30.8,7.39,Pass
AV360-359,G:3,NTC_1,NTC,T00,Lot C,0.111,0.037,Pass
AV360-359,H:3,T00_EIO_S1_R21,VCv2,T00,Lot C,40.6,6.37,Pass
AV360-360,A:1,400000119,AIO Control,Td4,Lot A,32.9,5.49,Pass
AV360-360,B:1,Td4_6_EIO_S1_R01,VCv2,Td4,Lot A,28.6,5.36,Pass
AV360-360,C:1,Td4_6_EIO_S1_R02,VCv2,Td4,Lot A,29.6,6.56,Pass
AV360-360,D:1,Td4_6_EIO_S1_R03,VCv2,Td4,Lot A,28.1,6.59,Pass
AV360-360,E:1,Td4_6_EIO_S1_R04,VCv2,Td4,Lot A,23.8,5,Pass
AV360-360,F:1,Td4_6_EIO_S1_R05,VCv2,Td4,Lot A,28.8,6.24,Pass
AV360-360,G:1,Td4_6_EIO_S1_R06,VCv2,Td4,Lot A,27.1,8.55,Pass
AV360-360,H:1,Td4_6_EIO_S1_R07,VCv2,Td4,Lot A,28,8.69,Pass
AV360-360,A:2,Td4_6_EIO_S1_R08,VCv2,Td4,Lot B,30.5,6.78,Pass
AV360-360,B:2,Td4_6_EIO_S1_R09,VCv2,Td4,Lot B,30.4,6.44,Pass
AV360-360,C:2,Td4_6_EIO_S1_R10,VCv2,Td4,Lot B,31.9,5.18,Pass
AV360-360,D:2,Td4_6_EIO_S1_R11,VCv2,Td4,Lot B,30.2,7.24,Pass
AV360-360,E:2,Td4_6_EIO_S1_R12,VCv2,Td4,Lot B,30.4,5.91,Pass
AV360-360,F:2,Td4_6_EIO_S1_R13,VCv2,Td4,Lot B,26.2,6.32,Pass
AV360-360,G:2,Td4_6_EIO_S1_R14,VCv2,Td4,Lot B,27.8,8.01,Pass
AV360-360,H:2,Td4_6_EIO_S0_R01,NTC,Td4,Lot B,0.169,0.158,Fail
AV360-360,A:3,Td4_6_EIO_S1_R15,VCv2,Td4,Lot C,31.5,7.37,Pass
AV360-360,B:3,Td4_6_EIO_S1_R16,VCv2,Td4,Lot C,31.5,6.54,Pass
AV360-360,C:3,Td4_6_EIO_S1_R17,VCv2,Td4,Lot C,30.4,5.64,Pass
AV360-360,D:3,Td4_6_EIO_S1_R18,VCv2,Td4,Lot C,31.3,6.98,Pass
AV360-360,E:3,Td4_6_EIO_S1_R19,VCv2,Td4,Lot C,31.3,6.73,Pass
AV360-360,F:3,Td4_6_EIO_S1_R20,VCv2,Td4,Lot C,29.6,6.12,Pass
AV360-360,G:3,NTC_1,NTC,Td4,Lot C,0.123,0.077,Pass
AV360-360,H:3,Td4_6_EIO_S1_R21,VCv2,Td4,Lot C,27.5,7.09,Pass
AV360-360,A:4,400000130,AIO Control,Td6,Lot A,24.8,3.4,Pass
AV360-360,B:4,Td4_6_EIO_S1_R22,VCv2,Td6,Lot A,26,5.86,Pass
AV360-360,C:4,Td4_6_EIO_S1_R23,VCv2,Td6,Lot A,23.2,6.04,Pass
AV360-360,D:4,Td4_6_EIO_S1_R24,VCv2,Td6,Lot A,23.7,6.4,Pass
AV360-360,E:4,Td4_6_EIO_S1_R25,VCv2,Td6,Lot A,27.6,5.43,Pass
AV360-360,F:4,Td4_6_EIO_S1_R26,VCv2,Td6,Lot A,27.5,6.55,Pass
AV360-360,G:4,Td4_6_EIO_S1_R27,VCv2,Td6,Lot A,26.5,6.28,Pass
AV360-360,H:4,Td4_6_EIO_S1_R28,VCv2,Td6,Lot A,31.8,7.97,Pass
AV360-360,A:5,Td4_6_EIO_S1_R29,VCv2,Td6,Lot B,28.5,5.72,Pass
AV360-360,B:5,Td4_6_EIO_S1_R30,VCv2,Td6,Lot B,28.4,4.64,Pass
AV360-360,C:5,Td4_6_EIO_S1_R31,VCv2,Td6,Lot B,29.5,5.87,Pass
AV360-360,D:5,Td4_6_EIO_S1_R32,VCv2,Td6,Lot B,29.5,6.05,Pass
AV360-360,E:5,Td4_6_EIO_S1_R33,VCv2,Td6,Lot B,28.4,5.1,Pass
AV360-360,F:5,Td4_6_EIO_S1_R34,VCv2,Td6,Lot B,28.2,5.84,Pass
AV360-360,G:5,Td4_6_EIO_S1_R35,VCv2,Td6,Lot B,28.5,6.43,Pass
AV360-360,H:5,Td4_6_EIO_S0_R02,NTC,Td6,Lot B,0.107,0.0882,Fail
AV360-360,A:6,Td4_6_EIO_S1_R36,VCv2,Td6,Lot C,32.1,6.06,Pass
AV360-360,B:6,Td4_6_EIO_S1_R37,VCv2,Td6,Lot C,30.2,4.79,Pass
AV360-360,C:6,Td4_6_EIO_S1_R38,VCv2,Td6,Lot C,29.9,4.68,Pass
AV360-360,D:6,Td4_6_EIO_S1_R39,VCv2,Td6,Lot C,32.1,6.26,Pass
AV360-360,E:6,Td4_6_EIO_S1_R40,VCv2,Td6,Lot C,31.1,5.73,Pass
AV360-360,F:6,Td4_6_EIO_S1_R41,VCv2,Td6,Lot C,28.1,4.38,Pass
AV360-360,G:6,Td4_6_EIO_S1_R42,VCv2,Td6,Lot C,30.7,5.94,Pass
AV360-360,H:6,NTC_2,NTC,Td6,Lot C,0.119,0.127,Pass
AV360-361,A:1,400000019,AIO Control,Td8,Lot A,33,4.64,Pass
AV360-361,B:1,Td8_10_EIO_S1_R01,VCv2,Td8,Lot A,30.6,5.73,Pass
AV360-361,C:1,Td8_10_EIO_S1_R02,VCv2,Td8,Lot A,31.7,5.8,Pass
AV360-361,D:1,Td8_10_EIO_S1_R03,VCv2,Td8,Lot A,32.9,6.64,Pass
AV360-361,E:1,Td8_10_EIO_S1_R04,VCv2,Td8,Lot A,27,4.96,Pass
AV360-361,F:1,Td8_10_EIO_S1_R05,VCv2,Td8,Lot A,29.9,5.99,Pass
AV360-361,G:1,Td8_10_EIO_S1_R06,VCv2,Td8,Lot A,29.9,7.37,Pass
AV360-361,H:1,Td8_10_EIO_S1_R07,VCv2,Td8,Lot A,32.2,8.02,Pass
AV360-361,A:2,Td8_10_EIO_S1_R08,VCv2,Td8,Lot B,29.9,8.2,Pass
AV360-361,B:2,Td8_10_EIO_S1_R09,VCv2,Td8,Lot B,27.4,5.42,Pass
AV360-361,C:2,Td8_10_EIO_S1_R10,VCv2,Td8,Lot B,28.2,5.6,Pass
AV360-361,D:2,Td8_10_EIO_S1_R11,VCv2,Td8,Lot B,28.8,6.17,Pass
AV360-361,E:2,Td8_10_EIO_S1_R12,VCv2,Td8,Lot B,27.6,5.8,Pass
AV360-361,F:2,Td8_10_EIO_S1_R13,VCv2,Td8,Lot B,27.1,5.34,Pass
AV360-361,G:2,Td8_10_EIO_S1_R14,VCv2,Td8,Lot B,29.2,7.8,Pass
AV360-361,H:2,Td8_10_EIO_S0_R01,NTC,Td8,Lot B,0.105,0.123,Fail
AV360-361,A:3,Td8_10_EIO_S1_R15,VCv2,Td8,Lot C,28.5,7.63,Pass
AV360-361,B:3,Td8_10_EIO_S1_R16,VCv2,Td8,Lot C,26.3,6.89,Pass
AV360-361,C:3,Td8_10_EIO_S1_R17,VCv2,Td8,Lot C,30.1,6.08,Pass
AV360-361,D:3,Td8_10_EIO_S1_R18,VCv2,Td8,Lot C,26.9,5.6,Pass
AV360-361,E:3,Td8_10_EIO_S1_R19,VCv2,Td8,Lot C,28.1,6.22,Pass
AV360-361,F:3,Td8_10_EIO_S1_R20,VCv2,Td8,Lot C,28.5,6.24,Pass
AV360-361,G:3,NTC_1,NTC,Td8,Lot C,0.094,0.0857,Pass
AV360-361,H:3,Td8_10_EIO_S1_R21,VCv2,Td8,Lot C,26.3,5.67,Pass
AV360-361,A:4,400000030,AIO Control,Td10,Lot A,30.1,4.46,Pass
AV360-361,B:4,Td8_10_EIO_S1_R22,VCv2,Td10,Lot A,28.4,5.3,Pass
AV360-361,C:4,Td8_10_EIO_S1_R23,VCv2,Td10,Lot A,26.5,6.16,Pass
AV360-361,D:4,Td8_10_EIO_S1_R24,VCv2,Td10,Lot A,27.3,6.17,Pass
AV360-361,E:4,Td8_10_EIO_S1_R25,VCv2,Td10,Lot A,27.9,5.99,Pass
AV360-361,F:4,Td8_10_EIO_S1_R26,VCv2,Td10,Lot A,27.4,6.05,Pass
AV360-361,G:4,Td8_10_EIO_S1_R27,VCv2,Td10,Lot A,28,6.44,Pass
AV360-361,H:4,Td8_10_EIO_S1_R28,VCv2,Td10,Lot A,25.5,6.4,Pass
AV360-361,A:5,Td8_10_EIO_S1_R29,VCv2,Td10,Lot B,25.9,4.51,Pass
AV360-361,B:5,Td8_10_EIO_S1_R30,VCv2,Td10,Lot B,28.6,5.48,Pass
AV360-361,C:5,Td8_10_EIO_S1_R31,VCv2,Td10,Lot B,27.3,5.72,Pass
AV360-361,D:5,Td8_10_EIO_S1_R32,VCv2,Td10,Lot B,30.2,6.88,Pass
AV360-361,E:5,Td8_10_EIO_S1_R33,VCv2,Td10,Lot B,27.6,5.69,Pass
AV360-361,F:5,Td8_10_EIO_S1_R34,VCv2,Td10,Lot B,28.2,6.14,Pass
AV360-361,G:5,Td8_10_EIO_S1_R35,VCv2,Td10,Lot B,26.4,5.4,Pass
AV360-361,H:5,Td8_10_EIO_S0_R02,NTC,Td10,Lot B,0.0821,0.0639,Fail
AV360-361,A:6,Td8_10_EIO_S1_R36,VCv2,Td10,Lot C,29.7,5.19,Pass
AV360-361,B:6,Td8_10_EIO_S1_R37,VCv2,Td10,Lot C,28.6,4.9,Pass
AV360-361,C:6,Td8_10_EIO_S1_R38,VCv2,Td10,Lot C,28.1,6.29,Pass
AV360-361,D:6,Td8_10_EIO_S1_R39,VCv2,Td10,Lot C,27.9,5.65,Pass
AV360-361,E:6,Td8_10_EIO_S1_R40,VCv2,Td10,Lot C,27.8,6.06,Pass
AV360-361,F:6,Td8_10_EIO_S1_R41,VCv2,Td10,Lot C,29.4,4.29,Pass
AV360-361,G:6,Td8_10_EIO_S1_R42,VCv2,Td10,Lot C,27.7,4.5,Pass
AV360-361,H:6,NTC_2,NTC,Td10,Lot C,0.139,0.0814,Pass