batch_name,Position,Sample,LPC_Conc,molarity_EN
AV360-388,A:1,600100387,28.2,141
AV360-388,B:1,T12_EIO_S1_R01,30.5,8.74
AV360-388,C:1,T12_EIO_S1_R02,29.2,7.83
AV360-388,D:1,T12_EIO_S1_R03,29,7.89
AV360-388,E:1,T12_EIO_S1_R04,28.1,8.46
AV360-388,F:1,T12_EIO_S1_R05,28.5,7.33
AV360-388,G:1,T12_EIO_S1_R06,29.1,10.7
AV360-388,H:1,T12_EIO_S1_R07,28.8,9.81
AV360-388,A:2,T12_EIO_S1_R08,29,10.1
AV360-388,B:2,T12_EIO_S1_R09,27.8,8.35
AV360-388,C:2,T12_EIO_S1_R10,29.3,7.36
AV360-388,D:2,T12_EIO_S1_R11,29.3,9.53
AV360-388,E:2,T12_EIO_S1_R12,28.4,8.62
AV360-388,F:2,T12_EIO_S1_R13,28.1,8.63
AV360-388,G:2,T12_EIO_S1_R14,30.9,11
AV360-388,H:2,T12_EIO_S0_R01,0.0753,0.0918
AV360-388,A:3,T12_EIO_S1_R15,28.8,7.75
AV360-388,B:3,T12_EIO_S1_R16,27.5,8.88
AV360-388,C:3,T12_EIO_S1_R17,27.9,52.1
AV360-388,D:3,T12_EIO_S1_R18,29.8,9.09
AV360-388,E:3,T12_EIO_S1_R19,26.8,7.69
AV360-388,F:3,T12_EIO_S1_R20,29.2,8.45
AV360-388,G:3,NTC_1,0.0544,0.0479
AV360-388,H:3,T12_EIO_S1_R21,31.5,9.48
AV360-388_ReEN,A:1,600100387,28.2,4.53
AV360-388_ReEN,B:1,T12_EIO_S1_R01,30.5,6.24
AV360-388_ReEN,C:1,T12_EIO_S1_R02,29.2,6.66
AV360-388_ReEN,D:1,T12_EIO_S1_R03,29,6.14
AV360-388_ReEN,E:1,T12_EIO_S1_R04,28.1,6.93
AV360-388_ReEN,F:1,T12_EIO_S1_R05,28.5,6.15
AV360-388_ReEN,G:1,T12_EIO_S1_R06,29.1,7.94
AV360-388_ReEN,H:1,T12_EIO_S1_R07,28.8,7.71
AV360-388_ReEN,A:2,T12_EIO_S1_R08,29,7.16
AV360-388_ReEN,B:2,T12_EIO_S1_R09,27.8,5.86
AV360-388_ReEN,C:2,T12_EIO_S1_R10,29.3,5.95
AV360-388_ReEN,D:2,T12_EIO_S1_R11,29.3,7.14
AV360-388_ReEN,E:2,T12_EIO_S1_R12,28.4,7.03
AV360-388_ReEN,F:2,T12_EIO_S1_R13,28.1,6.46
AV360-388_ReEN,G:2,T12_EIO_S1_R14,30.9,8.14
AV360-388_ReEN,H:2,T12_EIO_S0_R01,0.0753,0.135
AV360-388_ReEN,A:3,T12_EIO_S1_R15,28.8,6.46
AV360-388_ReEN,B:3,T12_EIO_S1_R16,27.5,5.21
AV360-388_ReEN,C:3,T12_EIO_S1_R17,27.9,6.15
AV360-388_ReEN,D:3,T12_EIO_S1_R18,29.8,7.49
AV360-388_ReEN,E:3,T12_EIO_S1_R19,26.8,7.55
AV360-388_ReEN,F:3,T12_EIO_S1_R20,29.2,6.55
AV360-388_ReEN,G:3,NTC_1,0.0544,0.0441
AV360-388_ReEN,H:3,T12_EIO_S1_R21,31.5,7.79